TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,MAIN_ADDRESS,LATITUDE,LONGITUDE
Condo for sale,528000,1,1,602,"1238 63rd St Unit 432Brooklyn, NY 11219",40.6275896,-74.0016198
Multi-family home for sale,1299888,11,4,3156,"310-312 Hillside AveStaten Island, NY 10304",40.6155667,-74.0869554
Co-op for sale,275000,1,1,2184.207862,"44-55 Kissena Blvd Unit 5FFlushing, NY 11355",40.7528774,-73.8211834
Condo for sale,1165000,1,1,815,"338 Berry St Apt 4EBrooklyn, NY 11249",40.711969,-73.9649468
Multi-family home for sale,1199000,6,5,3290,"10 Simon CtStaten Island, NY 10307",40.5159256,-74.2361135
Multi-family home for sale,700000,6,2,3053,"229 W Tremont Ave Unit ABronx, NY 10453",40.852813,-73.9176871
Multi-family home for sale,2150000,8,4,3200,"2226 63rd StBrooklyn, NY 11204",40.614446,-73.9795824
Multi-family home for sale,1280000,7,5,2460,"86-05 91st AveWoodhaven, NY 11421",40.688312,-73.856322
Co-op for sale,199900,1,1,2184.207862,"828 Gerard Ave Apt 5FBronx, NY 10451",40.8260352,-73.9256625
Co-op for sale,369000,2,1,2184.207862,"43-40 Union St Unit 3DFlushing, NY 11355",40.753455,-73.8209077
Multi-family home for sale,699000,4,3,1591,"111-31 141st StJamaica, NY 11435",40.6847504,-73.8027331
Co-op for sale,4250000,3,2,2400,"123 Prince St Unit 1Manhattan, NY 10012",40.725464,-73.9999212
Multi-family home for sale,825000,2,2,2184.207862,"32-39 Jordan StFlushing, NY 11358",40.768457,-73.789417
Condo for sale,329000,2,1,837,"55 Austin Pl Apt 4LStaten Island, NY 10304",40.6315346,-74.0856344
Multi-family home for sale,889000,2,2,1520,"17 S Greenleaf AveStaten Island, NY 10314",40.6233188,-74.1259917
Multi-family home for sale,769000,2,2,2184.207862,"101-55 112th StRichmond Hill South, NY 11419",40.6868333,-73.8309133
Multi-family home for sale,1200000,4,2,2536,"66 Bay 22nd StBrooklyn, NY 11214",40.6042861,-74.0012526
Co-op for sale,220500,2,1,900,"350 Richmond Ter Apt 3MStaten Island, NY 10301",40.6481488,-74.0847983
Multi-family home for sale,1999000,3,3,2739,"259 80th StBrooklyn, NY 11209",40.6281691,-74.0297598
Co-op for sale,3250000,2,2,1300,"240 Centre St Unit 2MNew York, NY 10013",40.7199716,-73.9980266
Condo for sale,1650000,2,2,1267,"473 Hicks St Apt 4Brooklyn, NY 11231",40.6866098,-73.9997131
Multi-family home for sale,1049000,4,4,2554,"342 Manhattan StStaten Island, NY 10307",40.5016233,-74.2417531
House for sale,998800,3,4,2400,"1191 Clove RdStaten Island, NY 10301",40.6175,-74.103996
House for sale,998800,3,4,2400,"Waldron AveStaten Island, NY 10301",40.618648,-74.1019085
For sale,3150000,3,2,1952,"184 Lincoln Pl Unit 2Brooklyn, NY 11217",40.6754035,-73.9742051
Co-op for sale,849000,1,1,2184.207862,"263 W End Ave Apt 14CManhattan, NY 10023",40.7802357,-73.9846328
Co-op for sale,559500,1,1,800,"50 Brighton 1 Rd Unit 5HBrooklyn, NY 11235",40.5751942,-73.9669983
Co-op for sale,750000,1,1,835,"333 E 66th St Apt 8ENew York, NY 10065",40.7643711,-73.9593578
Condo for sale,1900000,2,2,1029,"150 Rivington St Apt 3GNew York, NY 10002",40.7193408,-73.9856438
Condo for sale,1250000,2,2,1201,"1105 Cortelyou Rd # 301Brooklyn, NY 11218",40.6400234,-73.9676099
Condo for sale,1395000,2,2,1182,"737 Bergen St Apt 1BBrooklyn, NY 11238",40.6787789,-73.9643728
Co-op for sale,198000,1,1,2184.207862,"83-55 Woodhaven Blvd Unit 1AWoodhaven, NY 11421",40.700309,-73.8535466
Contingent,619888,3,2,1400,"35 Center PlStaten Island, NY 10306",40.5632116,-74.1002521
Multi-family home for sale,1489000,6,2.373860858,3780,"205 Wiman AveStaten Island, NY 10308",40.5395319,-74.1450877
Townhouse for sale,65000000,3,2.373860858,15200,"4 E 79th StNew York, NY 10075",40.7765613,-73.9633167
Condo for sale,1595000,3,3,1413,"924 Lafayette Ave Unit PhBrooklyn, NY 11221",40.6915139,-73.935444
Condo for sale,655000,3,2,803,"1504 Jefferson Ave Unit GardenbBrooklyn, NY 11237",40.6967268,-73.9074036
Condo for sale,1175000,2,2,1115,"924 Lafayette Ave Apt 2Brooklyn, NY 11221",40.6915139,-73.935444
Multi-family home for sale,2880000,9,2.373860858,2350,"16-33 166th StWhitestone, NY 11357",40.7832094,-73.7967588
Multi-family home for sale,798000,3,4,2150,"425 Father Capodanno BlvdStaten Island, NY 10305",40.5874844,-74.0701056
Land for sale,1685000,3,2.373860858,2184.207862,"519 Fairview AveRidgewood, NY 11385",40.7083434,-73.9081614
Condo for sale,31000000,3,4,4492,"111 W 57th St # 50New York, NY 10019",40.764953,-73.977568
Land for sale,2550000,3,2.373860858,2184.207862,"234 Ocean View AveBrooklyn, NY 11235",40.5785288,-73.9655666
Land for sale,119000,3,2.373860858,2184.207862,"3652 DE Reimer AveBronx, NY 10466",40.8841699,-73.8388387
Foreclosure,269000,5,2,2184.207862,"24149 148th DrRosedale, NY 11422",40.6534433,-73.741373
Condo for sale,1650000,2,2,1065,"200 E 94th St Apt 414New York, NY 10128",40.7833546,-73.9499982
Condo for sale,1650000,2,2,1065,"200 E 94th St Apt 414New York, NY 10128",40.7833546,-73.9499982
Townhouse for sale,12950000,5,4,3344,"214 W 11th StManhattan, NY 10014",40.7363219,-74.0018035
Condo for sale,5750000,3,2,2223,"250 E 21st St Unit 12BManhattan, NY 10010",40.736608,-73.9822819
Multi-family home for sale,250000,5,2,2184.207862,"130-24 150th StJamaica, NY 11436",40.66911,-73.789339
Pending,950000,6,2.373860858,3384,"254-06 Craft Ave Unit 2Jamaica, NY 11422",40.6499031,-73.7354706
House for sale,585000,3,2,1100,"192 Colfax AveStaten Island, NY 10306",40.5784263,-74.105437
House for sale,8750000,6,6,2184.207862,"8200 Narrows AveBrooklyn, NY 11209",40.6282935,-74.0379695
House for sale,595000,3,1,1316,"1509 E 48th StBrooklyn, NY 11234",40.6239146,-73.9291226
Condo for sale,215000,1,1,625,"195 Prince St Unit 1LLNew York, NY 10012",40.7267732,-74.002538
For sale,950000,1,1,621,"The Rockwell # 3ANew York, NY 10025",40.7986579,-73.9679035
House for sale,314000,3,1,1572,"850 E 39th StBrooklyn, NY 11210",40.6362368,-73.939679
Condo for sale,395000,5,1,1000,"110 E 71st St Unit MedicalManhattan, NY 10021",40.7700395,-73.9638872
Multi-family home for sale,600000,2,2,2184.207862,"1406 Mac Donough PlBronx, NY 10465",40.8429545,-73.8249591
Multi-family home for sale,790000,6,3,2520,"78 Mountainview AveStaten Island, NY 10314",40.6105856,-74.1268175
Co-op for sale,539000,2,2,1100,"9425 Shore Rd Apt 4FBrooklyn, NY 11209",40.6170731,-74.0383836
Co-op for sale,1295000,4,2,1995,"2501 Palisade Ave Apt H2Bronx, NY 10463",40.8809873,-73.9224337
House for sale,245000,3,1,2184.207862,"2942 Lurting AveBronx, NY 10469",40.8690109,-73.8564445
House for sale,400000,7,3,2385,"340 E 234th StBronx, NY 10470",40.8969146,-73.8654984
House for sale,55000000,8,8,12000,"25 Riverside DrNew York, NY 10023",40.782238,-73.9846322
Co-op for sale,280000,1,1,1000,"8015 6th Ave Apt A1Brooklyn, NY 11209",40.6241766,-74.0216837
House for sale,899000,3,2,1440,"40 Adelphi AveStaten Island, NY 10309",40.5159004,-74.2314825
For sale,2280000,2,2,1400,"The Rockwell # 6ENew York, NY 10025",40.7986579,-73.9679035
Coming Soon,649000,4,3,2184.207862,"194 Carroll StBrooklyn, NY 11231",40.6813429,-73.9981509
Pending,739000,6,4,2184.207862,"38 Dare CtBrooklyn, NY 11229",40.5877991,-73.9216187
House for sale,1495000,4,2.373860858,3000,"31 4th CtStaten Island, NY 10312",40.5247627,-74.1681035
House for sale,3950000,5,2,3528,"591 4th StBrooklyn, NY 11215",40.6680619,-73.9748375
Condo for sale,325000,2,1,979,"122 E 102nd St Apt 5BNew York, NY 10029",40.7897507,-73.9487257
Pending,299999,3,1,2184.207862,"215 W 75th St Apt 4DNew York, NY 10023",40.7810583,-73.9808407
Townhouse for sale,2695000,6,5,4720,"327 Convent AveNew York, NY 10031",40.8235127,-73.9467514
Pending,4800000,6,2.373860858,3958,"1151 83rd StBrooklyn, NY 11228",40.6178184,-74.0151165
House for sale,694000,3,3,1360,"364 Armstrong AveStaten Island, NY 10308",40.5423126,-74.1555672
House for sale,688888,4,2,2846,"761 S Oak DrBronx, NY 10467",40.8726182,-73.8651768
House for sale,400000,4,2,1980,"781 Sheperd AveBrooklyn, NY 11208",40.665357,-73.8770867
Multi-family home for sale,346000,5,2,2184.207862,"103-12 104th StOzone Park, NY 11417",40.6837891,-73.8381042
House for sale,400000,4,2,1980,"781 Sheperd AveBrooklyn, NY 11208",40.665357,-73.8770867
Multi-family home for sale,346000,5,2,2184.207862,"103-12 104th StOzone Park, NY 11417",40.6837891,-73.8381042
House for sale,265000,3,1,2184.207862,"135-38 224th StSpringfield Gardens, NY 11413",40.67538,-73.7472571
House for sale,319000,3,2,1224,"57 Neutral AveStaten Island, NY 10306",40.5604695,-74.1018925
Townhouse for sale,24800000,6,8,2184.207862,"45 E 74th StNew York, NY 10021",40.772929,-73.9635462
House for sale,1100000,9,4,3276,"421 W 154th StNew York, NY 10032",40.8307115,-73.9424229
Multi-family home for sale,309000,6,2,2184.207862,"2918 Brookhaven AveFar Rockaway, NY 11691",40.5980695,-73.7632649
House for sale,650000,3,2,1522,"237-14 93rd RdBellerose, NY 11426",40.723245,-73.7293286
House for sale,799000,4,2,1975,"604 Lamont AveStaten Island, NY 10312",40.5387812,-74.193378
Co-op for sale,259000,3,2,1089,"7E Edgewater Park Unit EBronx, NY 10465",40.8246371,-73.8072061
House for sale,1195000,4,4,2704,"52 Indale AveStaten Island, NY 10309",40.5143019,-74.2044734
Condo for sale,17500000,5,6,5499,"37 Warren St Unit PhcdNew York, NY 10007",40.7143354,-74.0087443
Condo for sale,189000,2,2,966,"20 Cliff St Apt 6DStaten Island, NY 10305",40.6109595,-74.060351
Condo for sale,759000,3,2,1200,"206-04 Emily Rd Unit 37MBayside, NY 11360",40.7881763,-73.7877051
House for sale,275000,4,1,2184.207862,"579 E 29th StBrooklyn, NY 11210",40.6366859,-73.9488175
Condo for sale,499000,1,1,630,"157 E 72nd St Apt 8IManhattan, NY 10021",40.7702318,-73.9610161
House for sale,1249000,3,2.373860858,2184.207862,"3021 Arlington AveBronx, NY 10463",40.8822913,-73.9137305
Co-op for sale,69900,2,1,700,"61 Edgewater Park Unit BBronx, NY 10465",40.8224987,-73.8111568
Multi-family home for sale,1150000,12,6,5508,"32-40 48 StAstoria, NY 11103",40.755049,-73.9136386
Foreclosure,1749900,5,4,3740,"517 W 142nd StNew York, NY 10031",40.824015,-73.9502067
Co-op for sale,1399000,3,4,1993,"269-10 Grand Central Pkwy Unit 21WFloral Park, NY 11005",40.7566899,-73.72075
Condo for sale,649000,3,2,1182,"163-04 71st Ave Unit 122Fresh Meadows, NY 11365",40.7302938,-73.8059248
House for sale,499000,5,2,1760,"2774 Marion AveBronx, NY 10458",40.8663864,-73.8878945
Multi-family home for sale,1050000,5,4,3132,"2818 Miles AveBronx, NY 10465",40.8176549,-73.8197053
Townhouse for sale,5000000,10,9,6425,"137 W 80th StManhattan, NY 10024",40.7832598,-73.976047
Pending,90000,1,1,660,"16 Mapleton AveStaten Island, NY 10306",40.574451,-74.0929448
House for sale,56000000,11,10,24000,"9 W 54th StNew York, NY 10019",40.7616,-73.9761913
Townhouse for sale,650000,3,2.373860858,1638,"1544 Ohm AveBronx, NY 10465",40.8454501,-73.8209766
Condo for sale,500000,4,3,1794,"251 W 89th St Apt 6ENew York, NY 10024",40.7905714,-73.9753392
House for sale,350000,2,1,490,"750 Patterson AveStaten Island, NY 10306",40.5731273,-74.089182
House for sale,1099000,4,2,2184.207862,"204-34 9th AveQueens, NY 11697",40.5595612,-73.9147409
Co-op for sale,90000,1,1,450,"1383 Plimpton Ave Apt 1CBronx, NY 10452",40.8423705,-73.9234444
House for sale,839000,4,2,2184.207862,"158-35 87th StHoward Beach, NY 11414",40.6590909,-73.8451972
House for sale,659000,8,3,2184.207862,"148-05 111th AveJamaica, NY 11435",40.688533,-73.796529
House for sale,659000,8,3,2184.207862,"148-05 111th AveJamaica, NY 11435",40.688533,-73.796529
House for sale,399999,3,1,2184.207862,"178 Beach 24th StFar Rockaway, NY 11691",40.5950021,-73.7577376
Condo for sale,250000,3,1,2184.207862,"3105 Avenue V Apt 1FBrooklyn, NY 11229",40.5997081,-73.9344974
For sale,1740000,2,2,1132,"The Rockwell # 6HNew York, NY 10025",40.7986579,-73.9679035
House for sale,650000,4,2,2244,"115115 220th StCambria Heights, NY 11411",40.6968706,-73.7390395
House for sale,1165000,3,4,3500,"67 Dexter AveStaten Island, NY 10309",40.5397292,-74.2155251
House for sale,729900,3,2,1150,"447 Vernon AveStaten Island, NY 10309",40.5302132,-74.1981906
House for sale,1880000,3,4,3150,"3758 Bayview AveBrooklyn, NY 11224",40.5805262,-74.0061062
Co-op for sale,449000,2,2,1549,"26910 Grand Central Pkwy Apt 22LFloral Park, NY 11005",40.7577991,-73.7159564
House for sale,1175000,3,2,2250,"251 Beach 140th StRockaway Park, NY 11694",40.57372,-73.8577786
Townhouse for sale,2750000,3,2,2184.207862,"16 Gay StNew York, NY 10014",40.7336687,-74.000518
House for sale,995000,3,2,2184.207862,"159-03 83rd StHoward Beach, NY 11414",40.657686,-73.8489131
Condo for sale,2000000,3,2,2000,"200 Rector Pl Unit 27EFManhattan, NY 10280",40.7086444,-74.0161953
Townhouse for sale,15000000,8,6,2184.207862,"126 Pierrepont StBrooklyn, NY 11201",40.6948972,-73.9925741
House for sale,2800000,4,6,8333,"25 Copperleaf TerStaten Island, NY 10304",40.5861193,-74.1075476
House for sale,2600000,5,4,3024,"214-42 27th AveBayside, NY 11360",40.7780417,-73.7739629
Townhouse for sale,3500000,6,6,6000,"51 Hamilton TerNew York, NY 10031",40.8229141,-73.9460622
Co-op for sale,550000,1,1,2184.207862,"609 Columbus Ave Apt 10INew York, NY 10024",40.7887084,-73.9700091
Pending,769000,3,4,2184.207862,"290 Lake AveStaten Island, NY 10303",40.6291962,-74.1518654
House for sale,675000,3,2,2400,"2519 Mill AveBrooklyn, NY 11234",40.610206,-73.91065
House for sale,879000,4,2,1238,"48 Princewood AveStaten Island, NY 10309",40.5273247,-74.1983282
House for sale,918888,3,2,2184.207862,"30-36 88th StEast Elmhurst, NY 11369",40.760703,-73.880887
Townhouse for sale,2400000,4,2,1892,"396 A 9th St Unit 2Brooklyn, NY 11215",40.6674938,-73.9832146
House for sale,1730000,6,2.373860858,3024,"45-12 244th StLittle Neck, NY 11362",40.765022,-73.7422005
Multi-family home for sale,425000,5,2,2184.207862,"755 Coster StBronx, NY 10474",40.8159966,-73.8881001
House for sale,2500000,5,2.373860858,1450,"33-02 Parsons BlvdFlushing, NY 11354",40.7679673,-73.8246067
House for sale,998000,4,4,2000,"336 Bethel AveStaten Island, NY 10307",40.515251,-74.235145
House for sale,1195000,4,4,2688,"222 Hart BlvdStaten Island, NY 10301",40.6296431,-74.1005274
House for sale,1649000,3,2,2052,"1217 84th StBrooklyn, NY 11228",40.6164182,-74.0142443
House for sale,955000,4,4,2100,"82 Vineland AveStaten Island, NY 10312",40.551184,-74.1840649
Multi-family home for sale,949000,6,3,2184.207862,"117-37 141st StJamaica, NY 11436",40.677393,-73.800094
House for sale,880000,3,2,1743,"190-16 33rd AveFlushing, NY 11358",40.7668312,-73.7911175
Townhouse for sale,39995000,4,2.373860858,10582,"145 Reade StManhattan, NY 10013",40.7164224,-74.0101197
Townhouse for sale,1250000,8,2.373860858,2184.207862,"246 E 58th St # ThNew York, NY 10022",40.7600248,-73.9653546
Contingent,899999,3,2,1784,"61 Prescott AveStaten Island, NY 10306",40.5788586,-74.11209
Condo for sale,198000,1,1,750,"118-18 Union Tpke Unit 7DQueens, NY 11415",40.7127599,-73.83433
House for sale,549000,5,3,496,"2808 Wickham AveBronx, NY 10469",40.8679701,-73.836565
House for sale,1088888,3,4,1320,"1568 W 2nd StBrooklyn, NY 11204",40.6090909,-73.9762651
House for sale,888000,4,2,2686,"3079 Giegerich PlBronx, NY 10465",40.8130775,-73.8063357
For sale,65000,3,1,230,"1287266 45 Madison St Unit 1Manhattan, NY 10038",40.7120703,-73.9983258
House for sale,1449999,3,2,2184.207862,"21-89 47th StLong Island City, NY 11105",40.7697773,-73.9014478
Townhouse for sale,14900000,5,5,2184.207862,"45 W 70th StNew York, NY 10023",40.7758194,-73.9785263
Coming Soon,1695000,5,2,2250,"871 Putnam AveNy, NY 11221",40.686947,-73.9261885
House for sale,2499000,5,2.373860858,4100,"152 Whitson StForest Hills, NY 11375",40.7107701,-73.8406935
Townhouse for sale,1970000,4,4,2508,"59 Duffield StBrooklyn, NY 11201",40.6965326,-73.9839654
Co-op for sale,1895000,2,2,2184.207862,"905 Union St Apt 1Brooklyn, NY 11215",40.673976,-73.973535
House for sale,689000,3,2.373860858,1248,"46 Kirshon AveStaten Island, NY 10314",40.6137764,-74.1600305
House for sale,649999,3,2,1440,"219 Slater BlvdStaten Island, NY 10305",40.5803331,-74.0885167
House for sale,669000,3,2,864,"74 Holly StStaten Island, NY 10304",40.5993523,-74.0953882
House for sale,800000,3,2,825,"1485 E 53rd StBrooklyn, NY 11234",40.6222734,-73.924094
Co-op for sale,2375000,1,2,2184.207862,"10 Bleecker St Apt 5DManhattan, NY 10012",40.7252187,-73.9929764
For sale,2400000,6,6,6688,"726 Nostrand AveBrooklyn, NY 11216",40.6738566,-73.9506085
House for sale,390000,2,1,586,"231 Freeborn StStaten Island, NY 10306",40.574103,-74.0931668
Condo for sale,2250000,1,1,2184.207862,"302 W 12th St Apt 7FManhattan, NY 10014",40.737308,-74.0046666
House for sale,1450000,4,2.373860858,2700,"308 Poillon AveStaten Island, NY 10312",40.5273093,-74.1753435
Condo for sale,725000,2,2,792,"627 Wilson Ave Apt 3Brooklyn, NY 11207",40.6898164,-73.9062474
Co-op for sale,269000,1,1,2184.207862,"4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",40.8968048,-73.9087471
Co-op for sale,695000,2,2,2184.207862,"575 Park Ave Unit 1101Manhattan, NY 10065",40.7651716,-73.9678719
House for sale,1300000,3,2,2184.207862,"246 Newman AveBronx, NY 10473",40.8109146,-73.853921
Co-op for sale,459000,3,2,1250,"2475 W 16th St Apt 19HBrooklyn, NY 11214",40.5866482,-73.9845156
House for sale,689999,3,2,1008,"596 College AveStaten Island, NY 10302",40.621814,-74.1406264
Co-op for sale,425000,3,2,1405,"58-03 Calloway St Unit 2P2Corona, NY 11368",40.7381853,-73.8581248
House for sale,10000000,5,4,6800,"166 E 64th StNew York, NY 10065",40.764989,-73.9655331
Co-op for sale,1525000,2,2,2184.207862,"67 Riverside Dr Apt 1CNew York, NY 10024",40.784623,-73.9826586
Multi-family home for sale,1499000,9,6,3519,"2619 Shore PkwyBrooklyn, NY 11223",40.583514,-73.9738903
Co-op for sale,695000,2,2,2184.207862,"575 Park Ave Unit 1101Manhattan, NY 10065",40.7651716,-73.9678719
House for sale,1300000,3,2,2184.207862,"246 Newman AveBronx, NY 10473",40.8109146,-73.853921
Co-op for sale,269000,1,1,2184.207862,"4901 Henry Hudson Pkwy W Apt 5FBronx, NY 10471",40.8968048,-73.9087471
Co-op for sale,425000,3,2,1405,"58-03 Calloway St Unit 2P2Corona, NY 11368",40.7381853,-73.8581248
Multi-family home for sale,1499000,9,6,3519,"2619 Shore PkwyBrooklyn, NY 11223",40.583514,-73.9738903
House for sale,519000,3,2,1480,"62 Simmons LnStaten Island, NY 10314",40.5939378,-74.1843153
Co-op for sale,358000,2,1,2184.207862,"212-79 16 Ave Unit 183Bayside, NY 11360",40.7855174,-73.7797613
Co-op for sale,975000,3,1,2184.207862,"360 W 22nd St Apt 9JManhattan, NY 10011",40.7455051,-74.0016003
Townhouse for sale,29200000,12,10,11638,"123 E 35th StNew York, NY 10016",40.747472,-73.9796788
Co-op for sale,498000,2,1,975,"138 71st St Apt E10Brooklyn, NY 11209",40.6351164,-74.0311609
Co-op for sale,385000,1,2,900,"1805 215th St Apt 4SBayside, NY 11360",40.7839299,-73.77643
Multi-family home for sale,999000,6,2,3144,"851 Van Nest AveBronx, NY 10462",40.8451067,-73.8601577
Co-op for sale,399000,1,1,2184.207862,"34-41 85th St Unit 3UJackson Heights, NY 11372",40.7531191,-73.8818757
Contingent,599000,4,4,2800,"77 Harbour CtStaten Island, NY 10308",40.5387352,-74.1423893
House for sale,829888,4,2.373860858,1800,"70 Savo LoopStaten Island, NY 10309",40.521278,-74.2230351
Townhouse for sale,699998,3,2,1548,"159 Freedom AveStaten Island, NY 10314",40.5953144,-74.1628286
Co-op for sale,1088000,5,2,2184.207862,"20 Continental Ave Unit 5EFForest Hills, NY 11375",40.7186003,-73.8453488
House for sale,999000,6,2,1280,"3426 Boller AveBronx, NY 10475",40.8808173,-73.8350832
Multi-family home for sale,1188888,15,9,2184.207862,"677 Grandview AveRidgewood, NY 11385",40.7075546,-73.9036964
Co-op for sale,265000,1,1,700,"23-45 Bell Blvd Unit 5KBayside, NY 11360",40.7824499,-73.7765099
Co-op for sale,288000,1,1,845,"3901 Nostrand Ave Apt 4CBrooklyn, NY 11235",40.5894827,-73.9395372
Co-op for sale,999995,3,2,1750,"205 E 63rd St Unit 11EFManhattan, NY 10065",40.7640501,-73.964336
Co-op for sale,1495000,2,2,1350,"200 E 74th St Apt 6BNew York, NY 10021",40.7708195,-73.9595235
Co-op for sale,925000,1,1,1000,"235 E 73rd St # 4BNew York, NY 10021",40.7699425,-73.9583558
Co-op for sale,349000,2,1,2184.207862,"84-70 129 St N Unit 5UKew Gardens, NY 11415",40.7050355,-73.8241699
Condo for sale,2000000,4,4,3000,"444 E 57th St Apt 2DNew York, NY 10022",40.7573479,-73.9614914
Condo for sale,839000,3,2,1376,"8895 26th Ave Apt 5ABrooklyn, NY 11214",40.5905451,-73.9910402
Co-op for sale,329000,1,1,820,"111-39 76th Rd Unit E6Forest Hills, NY 11375",40.7157399,-73.83672
Multi-family home for sale,899000,6,3,3683,"948 E 217th StBronx, NY 10469",40.8796143,-73.856153
House for sale,615000,3,2,2184.207862,"534 Powell StBrownville, NY 11212",40.6610456,-73.9019953
Condo for sale,800000,2,2,1257,"309 E 108th St Apt 5FNew York, NY 10029",40.7917785,-73.9406204
Condo for sale,430000,2,2,1248,"527 Willow Rd E Unit 2Staten Island, NY 10314",40.6123868,-74.1511288
Contingent,499000,3,2,1288,"625 Goethals Rd NStaten Island, NY 10314",40.6166867,-74.1576647
Co-op for sale,439500,3,2,1400,"83-80 118th St Unit 3OKew Gardens, NY 11415",40.7047878,-73.8344551
Co-op for sale,299000,1,1,2184.207862,"118-18 Union Tpke Unit 17GKew Gardens, NY 11415",40.7123992,-73.8339305
House for sale,2580000,8,2.373860858,6493,"60 Lyman PlStaten Island, NY 10304",40.6050685,-74.0969483
Condo for sale,200000,1,1,613,"1700 Metropolitan Ave Apt MhBronx, NY 10462",40.840459,-73.8542045
Co-op for sale,425000,3,1,2184.207862,"504 W 135th St Apt 1BNew York, NY 10031",40.8189893,-73.953108
Co-op for sale,69000,1,1,850,"1185 Anderson Ave Apt 2EBronx, NY 10452",40.8366623,-73.9239586
Condo for sale,1995000,3,2,1546,"272 W 107th St Apt 8DNew York, NY 10025",40.8018548,-73.9672877
Co-op for sale,230000,1,1,620,"255 W 108th St Apt 1FManhattan, NY 10025",40.8028416,-73.9670229
